                                          
Дата        Время     П1  В1  Y1  Y2  Y4    TEN   T1    T2    T3      T4    T5    Mode  Филь  V_In_Summ   Q_Summ        
                                       %     %    °C    °C    °C      °C    °C          тр    м3          Дж            
                                                      
                                          
Дата        Время     П1  В1  Y1  Y2  Y4    TEN   T1    T2    T3      T4    T5    Mode  Филь  V_In_Summ   Q_Summ        
                                       %     %    °C    °C    °C      °C    °C          тр    м3          Дж            
                                                      
                                          
Дата        Время     П1  В1  Y1  Y2  Y4    TEN   T1    T2    T3      T4    T5    Mode  Филь  V_In_Summ   Q_Summ        
                                       %     %    °C    °C    °C      °C    °C          тр    м3          Дж            
                                                      
2026:08:04  17:10:48  0   0   0   0   0     0     22    22    21.98   22    -5    0     0     0           0             
2026:08:04  17:10:51  0   0   0   0   0     97    21    21    21.96   21    -5    3     0     0           0             
2026:08:04  17:10:54  0   0   0   0   0     97    21    21    21.94   21    -5    3     0     0           0             
2026:08:04  17:10:57  0   0   0   0   0     97    21    21    21.92   21    -5    3     0     0           0             
2026:08:04  17:11:00  0   0   0   0   0     97    21    21    21.9    21    -5    3     0     0           0             
2026:08:04  17:11:03  0   0   0   0   0     97    21    21    21.88   21    -5    3     0     0           0             
2026:08:04  17:11:06  0   0   0   0   0     97    21    21    21.86   21    -5    3     0     0           0             
2026:08:04  17:11:09  0   0   0   0   0     97    21    21    21.83   21    -5    3     0     0           0             
2026:08:04  17:11:12  0   0   0   0   0     97    21    21    21.81   21    -5    3     0     0           0             
2026:08:04  17:11:15  0   0   0   0   0     97    21    21    21.79   21    -5    3     0     0           0             
2026:08:04  17:11:18  0   0   0   0   0     97    21    21    21.77   21    -5    3     0     0           0             
2026:08:04  17:11:21  0   0   0   0   0     97    21    21    21.75   21    -5    3     0     0           0             
2026:08:04  17:11:24  0   0   0   0   0     97    21    21    21.73   21    -5    3     0     0           0             
2026:08:04  17:11:27  0   0   0   0   0     97    21    21    21.71   21    -5    3     0     0           0             
2026:08:04  17:11:30  0   0   0   0   0     97    21    21    21.69   21    -5    3     0     0           0             
2026:08:04  17:11:33  0   0   0   0   0     97    21    21    21.67   21    -5    3     0     0           0             
2026:08:04  17:11:36  0   0   0   0   0     97    21    21    21.65   21    -5    3     0     0           0             
2026:08:04  17:11:39  0   0   0   0   0     97    21    21    21.63   21    -5    3     0     0           0             
2026:08:04  17:11:42  0   0   0   0   0     97    21    21    21.61   21    -5    3     0     0           0             
2026:08:04  17:11:45  0   0   0   0   0     97    21    21    21.59   21    -5    3     0     0           0             
2026:08:04  17:11:48  0   0   0   0   0     97    21    21    21.57   21    -5    3     0     0           0             
2026:08:04  17:11:51  0   0   0   0   0     97    21    21    21.55   21    -5    3     0     0           0             
2026:08:04  17:11:54  0   0   0   0   0     97    21    21    21.53   21    -5    3     0     0           0             
